Rank,QB WAR,RB WAR,WR WAR,TE WAR
1.0,3.641412846544772,5.548559908046455,5.166790958111482,3.10801527760862
2.0,2.9792346672514287,4.487841106406987,4.55410844011884,2.5262027419246587
3.0,2.693208452433072,4.145632687109824,4.191529963298037,2.058513843116595
4.0,2.4213575157235314,3.707766583142066,3.895157657554505,1.8075095431500317
5.0,2.1817603328050352,3.5174854122857075,3.7385859320676196,1.5943942728430203
6.0,1.9865002127751734,3.251993081753926,3.5432438087558245,1.4531621054721378
7.0,1.787660188926844,3.027195137231354,3.336057391247176,1.2521906108826406
8.0,1.6917887689639273,2.770388650801252,3.1426441247104036,1.0888739052339989
9.0,1.6586683403985476,2.6592254021378845,3.0306401150474147,0.9755339187306223
10.0,1.572865363109432,2.471060340342043,2.9483054581558448,0.880283965171289
11.0,1.4117869760942647,2.3104064136362377,2.867988140126357,0.7530453056317733
12.0,1.3437537722972714,2.2196984105693707,2.7824830335605557,0.6500096522237548
13.0,1.1809718743612447,2.141848200224253,2.693606341179797,0.5641733567028603
14.0,1.0684963782440577,2.0295979469207204,2.6261142237566615,0.5164066541780887
15.0,0.999132072502204,1.931804813329277,2.5296004092918176,0.45175207969943215
16.0,0.941243817054311,1.8739197759070378,2.417655338839568,0.3788484815577198
17.0,0.8527594262292549,1.8241106380187548,2.3607303761871927,0.34448929933552097
18.0,0.7652121700124025,1.7647686296891465,2.31151108601074,0.25001239070269554
19.0,0.6705140669133343,1.7034771873449734,2.2496482041221,0.17873863779918323
20.0,0.5997969879633315,1.634881059959854,2.1856560481968867,0.14318699283230427
21.0,0.4991240727564847,1.56638642896569,2.130221374415175,0.07974606957215294
22.0,0.412341077144352,1.4884523675204586,2.046285258976689,0.025423853941920732
23.0,0.3607669805658017,1.44387862109295,2.003509478948945,-0.0032481516100040407
24.0,0.2989788179696068,1.3669754586024336,1.9432827352861906,-0.047053722613026414
25.0,0.2557993351174296,1.2841824391678223,1.8897546040251434,-0.08721022882638123
26.0,0.17942898129167517,1.2331498691995597,1.8442813100981226,-0.13004237459011223
27.0,0.13385860905641728,1.1857675584532077,1.7967837880955528,-0.16107724869084036
28.0,0.07088107463553898,1.098246759262128,1.7453773021604202,-0.1806315678380887
29.0,0.03346333870922364,1.0512296344886987,1.6976319060469574,-0.20774627083055872
30.0,-0.014152003838761284,1.0055484314868524,1.6556977317969916,-0.22951803412794983
31.0,-0.04499410641420455,0.9448246160185481,1.613077967079566,-0.26430555250653043
32.0,-0.07759780872826769,0.8907786446985222,1.5399500351237996,-0.3087512968548773
33.0,-0.09467373059565214,0.8444427185781247,1.4973567940715906,-0.3359298156066258
34.0,-0.11921128391444477,0.7971865219418315,1.4546469566262996,-0.3719946694895498
35.0,-0.14141762392041465,0.7300884016504617,1.4285651663508472,-0.402498481144457
36.0,-0.15616975859995552,0.656991687662541,1.3847755273628777,-0.4370865534738811
37.0,-0.17771159040687862,0.5938915462505816,1.3365538935839791,-0.4650793116992894
38.0,-0.18383269986560022,0.5649169180961026,1.2810661440345623,-0.49016812970057744
39.0,-0.1986943585127284,0.5352463801744795,1.2252805691283268,-0.5046437817604895
40.0,-0.21518053555039574,0.5051885226627724,1.1815306521332274,-0.5342495682591648
41.0,-0.23320928379385517,0.4737414187644539,1.1426837008814994,-0.5563731334872339
42.0,-0.2572705719232449,0.4442855076730954,1.0916082107538603,-0.5794018626445903
43.0,-0.2700637822739796,0.38791738872714826,1.048842571068281,-0.5997830974128162
44.0,-0.2872031158343396,0.36511819593563527,1.017402320392554,-0.6167870127842503
45.0,-0.3068365416195268,0.34456643926716457,0.9907665103717989,-0.64758620077119
46.0,-0.3270109155751332,0.280539995739638,0.9415554103421128,-0.6679319257563288
47.0,-0.34576413381710236,0.26484832170070416,0.9017339851061248,-0.6907175394565506
48.0,-0.35912065082912203,0.2509062900988152,0.8728649062577161,-0.7120488687245136
49.0,-0.3856517649300616,0.23241882370538264,0.8435094756630687,-0.7261020971513528
50.0,-0.41306058058106265,0.20925797289678152,0.8236677242253279,-0.7391811991913168
51.0,-0.4372979394630844,0.18610536659764737,0.77389184870635,-0.7495703895001833
52.0,-0.4612927667786769,0.15617226480304539,0.7479850698801302,-0.775292993218092
53.0,-0.4893206915922761,0.10305311226418298,0.7256962460210034,-0.7890291743011861
54.0,-0.49755860716905537,0.06787846168258853,0.6973463716815262,-0.8152985949433178
55.0,-0.5270450952092544,0.043685708201777064,0.6497492284370046,-0.8247761532671325
56.0,-0.5519303163013346,0.027865387095297484,0.5902722635485025,-0.8486936060081378
57.0,-0.5820383678374289,0.007952560691011828,0.5612030928780593,-0.8718715842156808
58.0,-0.6167030430287871,-0.015830413284025225,0.5383388635284946,-0.8899109523595419
59.0,-0.6532266907844322,-0.031402283672566485,0.5099140858222078,-0.9034453138811761
60.0,-0.7007300237721102,-0.05013365240910086,0.480071731380713,-0.9380875028486189
61.0,-0.7479051149873956,-0.06716509463250123,0.4570556467472544,-0.9586860937261479
62.0,-0.7971451460434663,-0.08053610217247056,0.4271615764713109,-0.9817784335701786
63.0,-0.8565773276262838,-0.10551261502874305,0.39848956437852834,-1.0084056485757504
64.0,-0.9516053105017624,-0.11101059689416566,0.3528091477376041,-1.0268126595082527
65.0,-1.132744780584232,-0.1198389231672348,0.3413928516403124,-1.0457280843313816
66.0,-1.4395918696457115,-0.1360412637043065,0.3240937807838127,-1.0648775928980658
67.0,-1.0551276364471767,-0.14807444376331555,0.2949902012504362,-1.084385259832753
68.0,-1.030170383578152,-0.163014120830835,0.2658185646415984,-1.1019760724099246
68.5,,-0.11679949429023678,,
69.0,-0.9145771487046543,-0.1765422984736384,0.24027978701698913,-1.119897517653958
70.0,-1.0222368081307782,-0.18489930568858784,0.21384857526989282,-1.1450593680695103
71.0,-1.141094724608913,-0.19858198396593857,0.1832761149579177,-1.1699688502677346
72.0,-0.9693180344045559,-0.21701296033564396,0.15463890615927472,-1.197564981628977
73.0,-1.018612445825023,-0.22465686880232122,0.13317484903952317,-1.2092112886292359
74.0,-1.0942777443085223,-0.24727464187518536,0.1086291765515531,-1.224247356166536
75.0,-1.2409094086943777,-0.2572065392697594,0.08725939544624442,-1.239293789909837
76.0,-1.4872721573255936,-0.27039581758478065,0.06400636219794838,-1.2549160198529796
76.5,,,,-1.2527434288713428
77.0,-1.523600903063159,-0.2776069818132061,0.03598090087884836,-1.2861142673358783
78.0,-1.6706208368955078,-0.2826611572739449,0.004512720373625928,-1.292622785246019
79.0,-2.0748674375016956,-0.30300915313951465,-0.014854176455082907,-1.3095444247634207
79.5,,-0.29723976721451423,,
80.0,,-0.32037854986211656,-0.03596884497326191,-1.3273532623937851
81.0,,-0.3322212540791186,-0.047015950753587596,-1.3536019880362242
82.0,,-0.3451630551031474,-0.06502489215147508,-1.3878047227181927
83.0,,-0.36048936640528595,-0.07764566360952807,-1.4033924427419486
84.0,,-0.3761979902299865,-0.08388685279405692,-1.4177408770569762
85.0,,-0.38431401931007386,-0.0914269454807882,-1.4399246703762216
86.0,,-0.400294074750749,-0.10481954377241216,-1.4598164810128744
87.0,,-0.41324443790756094,-0.11513664281508937,-1.475703586735023
88.0,,-0.4255444600343449,-0.12422092951267585,-1.49636109166675
89.0,,-0.4348596770235026,-0.1365996705157825,-1.5283717720992775
90.0,,-0.4467825251676967,-0.14123969262591737,-1.5482407040755661
91.0,,-0.45671381526532445,-0.14837608063191315,-1.5740054633732856
92.0,,-0.4703925855154594,-0.15916726394842687,-1.592681395843663
93.0,,-0.47955660524291444,-0.17285583111163488,-1.6069520734983727
94.0,,-0.4889355996406774,-0.18498651866913657,-1.6217337104304885
95.0,,-0.5007242501329681,-0.19126399672889263,-1.6438605049460928
96.0,,-0.5106603897926991,-0.2030684765477669,-1.6635365276682972
97.0,,-0.5232798205824369,-0.2110544966145452,-1.685413776424528
98.0,,-0.5382858926897132,-0.2195499229566241,-1.7048306662282815
99.0,,-0.5430310204930932,-0.22438482582234368,-1.7250122771436778
100.0,,-0.5734127642004391,-0.23148795802427508,-1.7437961328503462
101.0,,-0.5893483597721398,-0.2448433923898336,-1.7702632994874232
102.0,,-0.601698196297165,-0.2545302114081134,-1.7805463529526282
103.0,,-0.6124400317177645,-0.26236024187437357,-1.8062330791064114
104.0,,-0.6283072280949351,-0.27387166663725976,-1.8341754558511496
105.0,,-0.6483364179513462,-0.27882254520480987,-1.8594623927646619
106.0,,-0.6727822227401474,-0.29481301459549086,-1.8794499072491924
107.0,,-0.695701328073247,-0.30831736692095724,-1.9099983128525349
108.0,,-0.7254814193689487,-0.32208243164718703,-1.9412230456359307
109.0,,-0.743040351912472,-0.33708459923119055,-1.9510709688934424
110.0,,-0.7660682905192157,-0.34975954169049384,-1.9664806271601794
111.0,,-0.7829468277067105,-0.357120461561365,-1.9872800645051574
112.0,,-0.8033318909161675,-0.36833631748398676,-1.966577770344446
113.0,,-0.8141490080518944,-0.3782915069005869,-1.943975592126389
114.0,,-0.8212481721984128,-0.3915074113688737,-1.9850444460697925
115.0,,-0.8383944731667745,-0.4007260979054473,-1.9511521756749104
116.0,,-0.8646412758281665,-0.4073695812121369,-2.0348052875091045
117.0,,-0.8795208231068512,-0.4196075758025091,-2.073084513730759
118.0,,-0.891665960465281,-0.4333555775736514,-2.102407602961467
119.0,,-0.9121345553245168,-0.45195671353393907,-2.007419605443583
120.0,,-0.9291894156663757,-0.46107439030061387,-2.196470401895533
121.0,,-0.941411826854502,-0.4733550755202008,-2.2251055905203168
122.0,,-0.9618067796913079,-0.48319028136398606,-2.1316841716309676
123.0,,-0.9783371385052455,-0.4932532382936149,-2.188949249071762
124.0,,-0.9989610753921259,-0.5005718019085416,
125.0,,-1.0246109700170278,-0.5113809930815009,
126.0,,-1.0488692033641616,-0.5166298516169584,
127.0,,-1.0670100133046465,-0.5262367743875682,
128.0,,-1.101586580796369,-0.5377965472631241,
129.0,,-1.1148649589326247,-0.5325163037070616,
129.5,,,-0.6613673839857562,
130.0,,-1.150032299988483,-0.5398772779998859,
131.0,,-1.1791663339470955,-0.5624087549672654,
132.0,,-1.2026056447887519,-0.5770431464961909,
133.0,,-1.2505737157528265,-0.5893885273297568,
134.0,,-1.2653390548164758,-0.5964891296906638,
135.0,,-1.2852867262266838,-0.6057326204940798,
136.0,,-1.3076422543185817,-0.6144331487913254,
137.0,,-1.3423953118314542,-0.6321312047132086,
138.0,,-1.3698054251324971,-0.6434611064896562,
139.0,,-1.398765406283013,-0.6638164178874588,
140.0,,-1.4354037187105628,-0.6706360538029786,
141.0,,-1.4509075058101095,-0.6797413176988576,
142.0,,-1.4645446484576408,-0.6858216363155364,
143.0,,-1.4813239434692445,-0.6985804346599123,
144.0,,-1.513384815483532,-0.7079481545101878,
145.0,,-1.5300239671614448,-0.7237334355221687,
146.0,,-1.518577005624276,-0.739818069388645,
147.0,,-1.5381396339176419,-0.7530269244237987,
148.0,,-1.5777735568893805,-0.7656251398114562,
149.0,,-1.59575190507303,-0.7761758584012738,
150.0,,-1.6159381127695207,-0.7937867580328622,
151.0,,-1.647314020742299,-0.802280086843877,
152.0,,-1.6740127562031921,-0.8204916674256133,
153.0,,-1.704973828365419,-0.8332353460258599,
154.0,,-1.7176958643518203,-0.8414779071203033,
155.0,,-1.7443705001282772,-0.8512344322795234,
156.0,,-1.8091082468517135,-0.8622360026226996,
157.0,,-1.777250698323532,-0.872989013475741,
158.0,,-1.7974142336608114,-0.889692335467948,
159.0,,-1.8142491882999405,-0.9009606896890787,
160.0,,-1.771623503459097,-0.918329620415767,
161.0,,-1.7284150159148886,-0.9258064774026185,
162.0,,-1.7631146399881568,-0.936811737933502,
163.0,,-1.7793140064755315,-0.9497142220503347,
164.0,,-1.9006628223265183,-0.9626492986119549,
165.0,,-1.9742362483723352,-0.9727718956390256,
166.0,,-2.0077428723615363,-0.985860970290158,
167.0,,-1.97547737895536,-1.0034265712103543,
168.0,,-1.9921238244018862,-1.0205806897585228,
169.0,,-1.9935058156201393,-1.0425786804677115,
170.0,,-2.0073018086406433,-1.054083702747891,
171.0,,,-1.068482124643197,
172.0,,,-1.0823543548309178,
173.0,,,-1.0997379648774845,
174.0,,,-1.1235802276160378,
175.0,,,-1.1401015909786731,
176.0,,,-1.1611858702974192,
177.0,,,-1.1719685978784575,
178.0,,,-1.200222878902924,
179.0,,,-1.2141317689443247,
180.0,,,-1.2328783259559888,
181.0,,,-1.2502483903397963,
182.0,,,-1.2602957489889137,
183.0,,,-1.2838226064111642,
184.0,,,-1.3175238768273096,
185.0,,,-1.270697626020169,
186.0,,,-1.2964809127183974,
187.0,,,-1.3065372315742818,
188.0,,,-1.336232843526724,
189.0,,,-1.358736787093058,
190.0,,,-1.3724385320045092,
191.0,,,-1.3937095582975514,
192.0,,,-1.4087820237024156,
193.0,,,-1.432951730596567,
194.0,,,-1.4655877459692415,
195.0,,,-1.5049371726184377,
196.0,,,-1.4544541389033168,
197.0,,,-1.413691631566051,
198.0,,,-1.4451739448629208,
199.0,,,-1.4822870856513422,
200.0,,,-1.4986451606072257,
201.0,,,-1.4648533549345186,
202.0,,,-1.4018338300191175,
203.0,,,-1.4136687447287328,
204.0,,,-1.4529832981719186,
205.0,,,-1.514588423132625,
206.0,,,-1.5290790575955637,
207.0,,,-1.548249565027805,
208.0,,,-1.4468394110786673,
209.0,,,-1.5253415782809225,
210.0,,,-1.5671784815575767,
211.0,,,-1.6033492332661627,
212.0,,,-1.6300223041444588,
213.0,,,-1.661717900811825,
214.0,,,-1.6734537273561736,
215.0,,,-1.7371613922500477,
216.0,,,-1.7466327670727309,
217.0,,,-1.5355189104347102,
218.0,,,-1.7905087648044482,
219.0,,,-1.8215150282590928,
220.0,,,-1.8457906274767468,
221.0,,,-1.911130880102126,
